ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
0.0,1.3599999999999999,0,0,0,8.5,0.457,0.258,0.285,0
0.0,1.2,0,0,0,7.5,0.457,0.258,0.285,1
0.0,-0.9899999999999998,0,0,0,-7.0,0.457,0.258,0.285,-1
0.0,0.41999999999999993,0,0,0,5.0,0.457,0.258,0.285,1
0.0,-1.4,0,0,0,2.5,0.457,0.258,0.285,1
0.0,0.78,0,0,0,-2.5,0.457,0.258,0.285,-1
0.0,-1.1600000000000001,0,0,0,-2.0,0.457,0.258,0.285,1
0.0,-0.20999999999999996,0,0,0,6.5,0.457,0.258,0.285,1
0.0,-0.41000000000000014,0,0,0,-0.5,0.457,0.258,0.285,1
0.0,1.6500000000000001,0,0,0,7.0,0.457,0.258,0.285,1
0.6699999999999999,1.1999999999999997,11,6,5,7.0,0.457,0.258,0.285,1
1.5499999999999998,0.4299999999999997,10,4,6,4.0,0.457,0.258,0.285,0
-0.32999999999999985,-1.74,4,7,-3,-4.5,0.457,0.258,0.285,1
-0.10999999999999999,-0.74,4,3,1,0.0,0.457,0.258,0.285,-1
0.0,-1.6300000000000001,13,10,3,-11.0,0.457,0.258,0.285,-1
-0.55,0.08999999999999986,4,8,-4,-6.0,0.457,0.258,0.285,1
1.0,1.31,13,8,5,8.0,0.457,0.258,0.285,1
0.5599999999999998,0.09000000000000008,10,8,2,-1.5,0.457,0.258,0.285,1
-0.44000000000000006,0.0,2,6,-4,8.5,0.457,0.258,0.285,1
0.0,0.3899999999999999,2,4,-2,6.0,0.457,0.258,0.285,1
0.10000000000000009,1.6400000000000001,13,12,1,12.0,0.457,0.258,0.285,1
-2.0,-0.23999999999999977,4,15,-11,-4.5,0.457,0.258,0.285,1
0.09999999999999987,0.51,5,5,0,-1.5,0.457,0.258,0.285,1
0.10000000000000009,-0.55,7,3,4,1.0,0.457,0.258,0.285,0
-1.1,0.04999999999999982,5,10,-5,2.5,0.457,0.258,0.285,1
-0.5,-1.45,4,4,0,-6.0,0.457,0.258,0.285,1
-0.19999999999999996,0.1399999999999999,6,5,1,-10.0,0.457,0.258,0.285,0
0.5999999999999999,-0.04000000000000026,8,3,5,6.5,0.457,0.258,0.285,-1
-1.0,-1.0899999999999999,6,8,-2,-8.5,0.457,0.258,0.285,1
1.0999999999999999,1.3299999999999998,12,5,7,10.5,0.457,0.258,0.285,1
-0.3600000000000001,-0.16000000000000003,8,13,-5,-6.0,0.457,0.258,0.285,1
1.3599999999999999,1.01,12,4,8,14.0,0.457,0.258,0.285,1
-0.17999999999999994,0.3200000000000003,5,5,0,-1.5,0.457,0.258,0.285,-1
-0.18000000000000016,-0.48,1,8,-7,-0.5,0.457,0.258,0.285,-1
0.55,0.3400000000000001,7,8,-1,-1.0,0.457,0.258,0.285,-1
0.36,0.5799999999999998,4,7,-3,2.0,0.457,0.258,0.285,-1
-1.18,-1.49,3,12,-9,-6.5,0.457,0.258,0.285,-1
-0.09000000000000008,0.13000000000000012,5,8,-3,0.0,0.457,0.258,0.285,1
0.8200000000000001,-0.18000000000000016,9,7,2,-3.0,0.457,0.258,0.285,-1
-0.17999999999999994,-0.3699999999999999,3,9,-6,0.0,0.457,0.258,0.285,0
0.8300000000000001,1.25,10,10,0,12.0,0.457,0.258,0.285,1
0.25,1.2499999999999998,10,7,3,2.5,0.457,0.258,0.285,-1
-0.33999999999999986,0.4600000000000002,1,5,-4,-1.5,0.457,0.258,0.285,0
0.08000000000000007,1.03,10,8,2,1.0,0.457,0.258,0.285,0
0.0,0.2599999999999998,7,4,3,3.5,0.457,0.258,0.285,0
0.08000000000000007,-0.16000000000000014,3,4,-1,2.0,0.457,0.258,0.285,-1
0.16999999999999993,-0.6400000000000001,8,10,-2,-1.0,0.457,0.258,0.285,1
-1.25,-1.1099999999999999,7,12,-5,-6.0,0.457,0.258,0.285,-1
-1.5,-1.35,1,12,-11,-13.0,0.457,0.258,0.285,-1
0.5899999999999999,-1.6300000000000001,6,4,2,-6.5,0.457,0.258,0.285,0
1.15,0.8799999999999999,12,10,2,4.0,0.457,0.258,0.285,0
0.06999999999999984,-0.1399999999999999,6,2,4,0.0,0.457,0.258,0.285,-1
-0.07999999999999996,0.9100000000000001,10,2,8,-0.5,0.457,0.258,0.285,1
-0.31000000000000005,-1.4099999999999997,9,10,-1,-8.5,0.457,0.258,0.285,0
0.2999999999999998,-0.29000000000000004,9,6,3,-1.0,0.457,0.258,0.285,-1
-0.69,0.15000000000000013,4,7,-3,0.5,0.457,0.258,0.285,1
-0.2400000000000002,-0.020000000000000018,5,4,1,1.0,0.457,0.258,0.285,0
0.2300000000000001,0.1100000000000001,7,1,6,-0.5,0.457,0.258,0.285,1
-0.45999999999999996,-0.8999999999999999,5,11,-6,-5.5,0.457,0.258,0.285,1
1.46,1.35,12,7,5,5.5,0.457,0.258,0.285,0
1.15,0.8499999999999999,10,5,5,6.5,0.457,0.258,0.285,0
-0.1399999999999999,0.1200000000000001,3,9,-6,-0.5,0.457,0.258,0.285,-1
-0.29000000000000004,0.13000000000000012,10,10,0,2.5,0.457,0.258,0.285,-1
0.41999999999999993,-0.17999999999999994,7,10,-3,0.0,0.457,0.258,0.285,0
0.29000000000000004,-0.3899999999999999,8,8,0,-3.5,0.457,0.258,0.285,0
-0.79,-0.009999999999999898,4,10,-6,-5.5,0.457,0.258,0.285,-1
0.43000000000000005,-0.16000000000000014,5,1,4,-1.0,0.457,0.258,0.285,1
-0.3600000000000001,0.3900000000000001,10,2,8,-2.5,0.457,0.258,0.285,0
0.34999999999999987,-0.2599999999999998,8,1,7,2.0,0.457,0.258,0.285,1
0.72,0.15000000000000013,13,4,9,5.0,0.457,0.258,0.285,-1
1.0699999999999998,1.3399999999999999,10,3,7,9.5,0.457,0.258,0.285,1
0.45999999999999996,1.4599999999999997,6,11,-5,6.0,0.457,0.258,0.285,1
0.19999999999999996,-0.6100000000000001,6,9,-3,-2.0,0.457,0.258,0.285,-1
-0.19999999999999996,0.69,10,5,5,-2.5,0.457,0.258,0.285,-1
-0.19999999999999996,-0.1100000000000001,6,8,-2,8.0,0.457,0.258,0.285,0
-1.4,-1.15,1,8,-7,-4.5,0.457,0.258,0.285,-1
